idiom,definition
a change is as good as a rest,Doing something different from one's routine is as refreshing as taking a break from work altogether.
a closed mouth catches no flies,It's best not to talk too much.
a closed mouth doesn't get fed,Someone who does not express their needs or desires is less likely to obtain them.
a closed mouth gathers no feet,One who does not speak can be sure of not saying anything embarrassing.
a contented mind is a perpetual feast,Contentment is more a matter of attitude than circumstances.
a creaking door hangs longest,Someone who is apparently in poor health may well outlive the ostensibly-stronger.
actions have consequences,All individual actions may result in negative repercussions.
a danger foreseen is half avoided,It is necessary to foresee danger as it helps you to avoid it.
a drowning man will clutch at a straw,"A person in desperate need of help will grab hold of some help, even if it is insignificant."
a dumb priest never got a parish,Those who fail to speak up will fail to get what they desire.
a fair booty makes many a thief,People are easily tempted to dishonesty if there is a substantial prize to be gained.
a fault confessed is half redressed,"By confessing to one's own faults, one will begin to make amends."
a fool and his money are soon parted,It is easy to obtain money from foolish people.
a foolish consistency is the hobgoblin of little minds,"Consistency may not be the key to success; changes, even minor ones, must be introduced."
a friend in need is a friend indeed,"If a friend helps one when one is in need, that person is a true friend."
age is just a number,Age is not an important attribute in a person.
a golden key can open any door,Sufficient money can accomplish anything.
a good beginning makes a good ending,Start off on a good note to reap the benefits at the end.
a good conscience is a soft pillow,A clear conscience allows one to sleep peacefully.
a good deed is its own reward,"One should not expect a reward for good deeds, but should perform them merely for the satisfaction of doing so."
a healthy body is a healthy mind,Physical fitness leads to mental acuity.
a hit dog will holler,An offended or defensive response to a statement suggests that the statement applies to the person complaining.
a house divided against itself cannot stand,A group or organization that is weakened by internal dissent will not remain united.
a house is not a home,A home is not merely a building but requires inhabitants and a friendly atmosphere.
a hungry man is an angry man,One who is deprived of a basic need is easily angered.
a journey of a thousand miles begins with a single step,Even the longest and most difficult ventures have a starting point.
a leopard cannot change its spots,One cannot change one's own nature.
a lie can run around the world before the truth can get its boots on,A falsehood may spread widely before it can be counteracted with the truth.
a lie has no legs,One cannot get away with a lie; the truth will always come out.
a little knowledge is a dangerous thing,A small amount of knowledge can mislead individuals into believing that they are more experienced and expert than what is actually the case.
"all animals are equal, but some animals are more equal than others",Used to satirize the hypocrisy of unequal political hierarchies in societies that profess equality for all.
all cats are gray in the dark,Standard spelling of all cats are grey in the dark.
all good things come to an end,Nothing good lasts forever.
all is fish that comes to the net,Anything that happens can be used for one's advantage.
all politics is local,"Ultimately, constituents and voters are concerned most about issues that affect their personal lives and home communities, and they vote accordingly."
all's fair in love and war,Unpleasant behavior is acceptable during love and conflict.
all's well that ends well,A happy ending makes up for everything that has happened before.
all that glitters,Short for all that glitters is not gold.
all the world's a stage,People have roles to play in life just as actors do in the theatre.
all things come to those who wait,A patient person will be satisfied in due time; patience is a virtue.
almost doesn't count,Near success (or near accuracy) is not adequate.
a man is known by the company he keeps,People are similar in character to their friends.
a man's home is his castle,A proverbial expression of personal privacy and security.
a mind is a terrible thing to waste,One should put one's mental faculties to good use.
a miss is as good as a mile,"A failure remains a failure, regardless of how close to success one has actually come."
"a moment on the lips, a lifetime on the hips",Indulgence in food and drink gives a brief period of sensory pleasure but tends to increase one's body weight in the long term.
an apple a day keeps the doctor away,Apples are healthy and stave off illnesses.
an army marches on its stomach,You must eat properly if you want to perform tasks well.
a new broom sweeps clean,New management will often make radical changes.
"a new broom sweeps clean, but an old broom knows the corners","New management imposes radical changes, but those with prior experience have more knowledge."
"an eye for an eye, a tooth for a tooth","compensation for injury caused by a person, in the form of inflicting of an identical injury on that person."
an eye for an eye makes the whole world blind,A policy of revenge will lead to counterretaliations rather than peaceful resolutions.
a nod is as good as a wink,"The hint, suggestion etc. can be understood without further explanation."
an old dog for a hard road,It takes an experienced person to execute a difficult undertaking.
"another day, another dollar","Everything is routine and mundane, and nothing eventful or extraordinary has happened."
another day in paradise,Everything is going well.
an ounce of prevention is better than a pound of cure,It is better to prevent a disease than to have to cure it.
any hole's a goal,Any receptive sex partner (or orifice) is acceptable.
any port in a storm,One should accept any passable option when time is of the essence in an adverse situation.
a picture is worth a thousand words,A visualisation is a better description than a verbal description.
a problem shared is a problem halved,"If a problem is shared with others, its solution becomes easier."
a promise is a promise,One must keep one's promises.
a promise made is a promise kept,A promise that one makes should be or can be considered a promise that one will certainly honor.
a prophet is not without honor save in his own country,A person may be believed or respected by others but not by those closest to them.
a rising tide lifts all boats,A truly good outcome benefits all.
a rolling stone gathers no moss,A person who never settles in one place will never be successful.
"art is long, life is short",Art is more enduring than an individual's lifetime.
"as a dog returns to his vomit, so a fool repeats his folly",Foolish people repeatedly do foolish things.
"ask a silly question, get a silly answer","If one asks a question that is stupid or to which the answer is obvious, one should not be surprised or displeased to receive a silly or bizarre response."
a smooth sea never made a skilled sailor,"Challenging experiences are the most educational and thus, ultimately, the most beneficial."
a sorrow shared is a sorrow halved,Grief can be alleviated by discussing it with someone.
a spoonful of sugar helps the medicine go down,An otherwise unpleasant situation can be pleasant when a pleasant aspect is deliberately introduced.
"as the twig is bent, so is the tree inclined",A person's formative experiences in youth influence their character during adulthood.
a stitch in time saves nine,A little effort expended sooner to fix a small problem prevents it from becoming a larger problem requiring more effort to fix later.
a stopped clock is right twice a day,"A normally unreliable person or instrument can occasionally provide correct information, even if only by accident."
a straw shows how the wind blows,A general situation can be inferred from minor indications.
"as you make your bed, so you must lie in it",One will carry negative consequences of not having prepared properly.
"as you sow, so shall you reap",The consequences of one's actions to oneself are in proportion to one's good or bad intentions towards others.
a trouble shared is a trouble halved,Talking about one's difficulties can alleviate one's worry and stress.
attack is the best form of defence,"In a battle or dispute, attacking the opposition first is better than waiting for them to attack."
attitude reflects leadership,Lower subordinates in an organization practice the behavior that is tolerated and encouraged by their superiors.
a watched pot never boils,A process appears to proceed more slowly if one waits for it rather than engaging in other activities.
a wild goose never laid a tame egg,Most things are inherited and predetermined.
a woman's work is never done,"Housework, which is generally considered women's work, is never finished."
bad facts make bad law,Unusual circumstances can lead lawmakers or judges to set precedent that applies poorly to most situations.
bad money drives out good,Debased coinage (with low levels of precious metals) replaces purer coinage (with higher levels of precious metals).
bad news travels fast,Bad news circulates quickly because people often circulate it everywhere.
bad things come in threes,"If one unfortunate event has already occurred, a second and third are likely to occur; if two, a third should be expected."
barking dogs seldom bite,People who make threats rarely carry them out.
"beauty fades, dumb is forever","One's attractiveness will diminish over time, but one's stupidity is perpetual."
beauty is in the eye of the beholder,Different people have different views on what is beautiful; beauty is subjective.
beauty is only skin deep,A person's character matters more than their appearance.
beauty won't make the pot boil,"Being physically attractive may have its benefits, but it is not enough to make a living."
beggars can't be choosers,Something is better than nothing: those who can't provide for themselves should accept whatever help is available.
behind every successful man there stands a woman,A man's achievements are made possible by the support and work of their wife or female partner.
believing is seeing,One needs to believe something in order to know or understand it.
better an egg today than a hen tomorrow,It is better to have a sure thing now than a possibility of more later.
better dead than red,It is preferable to be deceased than to be a Communist or ruled by Communists.
better safe than sorry,It is preferable to be cautious in one's choices and actions than to act recklessly and suffer afterwards.
better the devil you know than the devil you don't know,Something bad and familiar is better than something bad and unknown.
better to light a single candle than to curse the darkness,"Even in the face of hopelessness and discontent, it is more worthwhile to do some good, however small, in response, than to complain about the situation."
"bet the jockey, not the horse","One should invest based on the management team behind a venture, rather than on the product or service being sold."
big things come in small packages,Things should not be underestimated because of their small size.
"bi now, gay later",A slogan suggesting that bisexual people tend to become exclusively homosexual later in life.
bird in the hand,Short for a bird in the hand is worth two in the bush.
birds of a feather flock together,"People of similar character, background or taste tend to congregate or associate with one another; it is easier to establish friendships with people that one has a lot in common with."
bis dat qui cito dat,"Something (e.g., payment, assistance, etc.) given promptly is much more valuable than if given after considerable delay."
blood is thicker than water,Family relations and loyalties are stronger than relationships with people who are not family members.
boys will be boys,"It is hard, often fruitless, to attempt to curb the natural playfulness and tendency to mischief of most growing boys."
brevity is the soul of wit,"Conciseness of expression is an essential characteristic of astute, perceptive, or witty remarks."
bros before hoes,A man should prioritize his male friends over women.
business before pleasure,Discharging one's obligations must take precedence over devoting time to pursuits meant solely for one's own gratification.
"buy cheap, buy twice",Buying a cheap but inferior product is a false economy since it will need replacement.
"can't live with them, can't live without them","There is a hopeless, ongoing conflict between annoyance with someone or something and need for that same person or thing."
carpe diem,"Enjoy the present, make the most of today,  seize the day."
"cats rule, dogs drool",A cat will always be superior or preferable to a dog.
caveat lector,Reader beware.
charity begins at home,One should help the people closest to oneself before thinking of helping others.
cheats never prosper,One does not profit by cheating.
chicks before dicks,A woman should prioritize her female friends over her boyfriend or husband.
children should be seen and not heard,"Children should behave well and be quiet, especially in the presence of adults."
claret would be port if it could,Everybody would change their circumstances if it were possible.
"claw me, claw thee",you scratch my back and I'll scratch yours
cleanliness is next to godliness,It is important and morally sound to keep one's body and home clean; those who practice purity and wholeness are close to God.
clogs to clogs in three generations,Wealth earned in one generation seldom lasts through the third (grandchild's) generation.
close only counts in horseshoes,Coming close to achieving a goal is not good enough.
"cobbler, keep to your last",Do not criticise matters outside your field of expertise; mind your own business.
"cold hands, warm heart",Having cold hands is an indication of warmheartedness; used as a rejoinder if one finds that another's hands are cold.
common sense is neither common nor sensical,"Many assumptions that people make through intuition, popular culture, or 'common sense' turn out to be incorrect."
comparison is the thief of joy,Comparing one's own situation with that of others will lead to unhappiness or bitterness.
cooler heads will prevail,People who are calm and focused are the most likely to succeed or to have the greatest influence on events.
crime doesn't pay,If you commit a crime you will most likely be punished for it.
curiosity killed the cat,One should not be curious about things that can be dangerous.
dance with the one that brought you,"To be considerate and loyal to the person who has been supportive, attentive, or helpful."
dead men tell no tales,"A dead person can no longer reveal information, especially information which others wish to keep secret."
death is the great leveller,Death balances all.
desperate times call for desperate measures,"In adverse circumstances, actions that might have been rejected under other circumstances may become the best choice."
diamonds are a girl's best friend,"While love is a luxury, material wealth (particularly jewellery) is more valuable to a girl."
different strokes for different folks,Different people like different things; there's no accounting for taste.
discretion is the better part of valour,It is often wise to refrain from seemingly brave speech or action.
divide and conquer,"To use a combination of political, military and economic strategies that aim to gain and maintain power by breaking up larger concentrations of power into chunks that individually have less power than the one implementing the strategy."
doctors make the worst patients,It is difficult to advise people on subjects that they are experts on.
"dogs have masters, cats have staff","A dog will always aim to please and display loyalty to its owner, whereas a cat will always seek to be served and obeyed."
don't buy green bananas,"One should not make long-term plans, as one may not live or survive long enough to accomplish them."
don't count your chickens,Ellipsis of don't count your chickens before they're hatched.
don't count your chickens before they're hatched,One should not depend upon a favorable (and typically overoptimistic) outcome to one's plans until it is certain to occur.
don't count your chicks,Ellipsis of don't count your chicks before they're hatched.
don't drive faster than your guardian angel can fly,Drive your vehicle at a safe speed.
don't drop the soap,Used as a mockery to someone who is about to be or should be confined in prison.
don't fight the tape,Do not bet or trade against the trend in the financial markets.
don't get above your raising,Do not act in a manner not in keeping with the way you were brought up.
"don't get mad, get even","A saying or advice suggesting to someone that instead of getting angry at a perceived injustice, slight or other action against them, they should retaliate."
"don't hate the player, hate the game","The frustrations with a system or activity should be blamed on its weaknesses, rather than on individuals who operate within it."
don't keep a dog and bark yourself,Don't do anything you are paying a more qualified person to do.
don't look a gift horse in the mouth,One should not unappreciatively question or inspect a gift too closely.
don't put all your eggs in one basket,Do not dedicate all your resources to one project.
don't shit where you eat,"One should not cause trouble in places, groups, or situations that one holds as important or necessary to one's happiness or well-being."
don't shoot the messenger,The bearer of bad news should not be held accountable for it.
don't sweat the small stuff,One should not give in to petty problems; one should not worry about insignificant matters.
don't try to teach grandma how to suck eggs,Don't presume to give advice to those who are more experienced.
do unto others as you would have them do unto you,One should treat others as one would like others to treat oneself; an expression of the golden rule.
dripping water hollows a stone,Many minor influences gradually produce a significant effect.
"drive for show, putt for dough","Long drive shots may look impressive, but putting accuracy on the green is most important in order to win."
"drop acid, not bombs",A hippie anti-war slogan encouraging LSD use.
"eat, drink and be merry",Enjoy yourself; forget your cares; do not worry.
"eat, drink and be merry for tomorrow we die","Life is short, so you should enjoy it while you can."
eaten bread is soon forgotten,Kind deeds or favors are often forgotten by the beneficiary once they have been performed.
"eat to live, not live to eat","It is best not to be gluttonous; eating shouldn't be one's favorite activity, but one should eat only to supply health."
empty vessels make the most sound,"Talkative, opinionated people are often ignorant."
enough is as good as a feast,Just the right amount is as good as more than enough: there is no value in excess.
e pluribus unum,"""out of many, one"" or ""from many, one"" (alternatively translated as ""one out of many"" or ""one from many”)"
est modus in rebus,It is best to live with moderation; it is best to find a middle ground.
even a blind squirrel can find a nut once in a while,"A usually unreliable person can be right sometimes, even if it is just by chance."
even a worm will turn,Even the meekest or most docile people will retaliate or seek revenge if pushed too far.
every accusation is a confession,"A person who accuses others of a thing (act, behavior, wrongdoing, etc) is in fact doing that same thing themselves."
every cloud has a silver lining,There is something good in any bad situation.
every dog has its day,"Everyone, at some point, experiences some degree of success, impact, or influence in life."
every law has its loophole,There is always a way to work around the restrictions imposed by rules.
every little helps,Even the smallest things are helpful when towards a goal.
every man has a price,Everyone can be bribed or corrupted for a certain price.
every man is the architect of his own fortune,Each person is the chief cause of their success or failure in life.
every miller draws water to his own mill,People are primarily concerned with their own interests.
every rose has its thorn,Every good situation happens with misfortune or adversity.
every shut eye isn't asleep,"One must be careful, because some people who seem not to be paying attention are actually paying attention."
every silver lining has a cloud,Every good situation has the potential to turn bad.
every stick has two ends,Every situation has two sides.
everything happens for a reason,"Used for consolation, possibly self-consolation, after someone has experienced something unfavorable or unpleasant, and hence an encouragement to make the best of the situation."
everything is fair in love and war,People ignore societal norms or morality in matters of romance and conflict.
everything old is new again,Old fashions return to being popular.
evil be to him who evil thinks,Those who plot to commit evil deeds or harbor disgraceful thoughts deserve to have evil done to them.
experience is the best teacher,Lessons learned from experience are the most lasting.
extraordinary claims require extraordinary evidence,Outlandish and unbelievable claims must be followed by exceptional evidence to be considered acceptable in rational discourse.
facts don't care about your feelings,Facts exist as they do independently of emotional biases.
facts speak louder than words,Facts are stronger than rhetoric; facts are more convincing than eloquent theories.
failure is the best teacher,Failing at something is the best way to gain experience and learn how to succeed at it.
failure to prepare is preparing to fail,Failing to prepare will cause one to lose or fail.
faint heart never won fair lady,One must take risks in order to achieve a goal; success requires enterprise.
fair exchange is no robbery,Swapping two things or subjects of equal value is considered an honest deal.
faith will move mountains,Belief in oneself (read sometimes as belief in God) can help one overcome any hurdle in life's path.
"fall seven times, stand up eight","One must not give up one's efforts, even those that are in vain."
familiarity breeds contempt,"The more acquainted one becomes with a person, the more one knows about his or her shortcomings and, hence, the easier it becomes to dislike that person."
fas est et ab hoste doceri,"One should be open to lessons from other people, even from one's enemies."
fat is flavor,Foods need to contain fat to appear flavorful to consumers.
"feed a cold, starve a fever","Expressing the common belief that eating more will cure the common cold, and eating less will cure a fever."
"finders, keepers",Whoever finds something is allowed to keep it.
fine feathers make fine birds,Something that appears beautiful or good is by definition beautiful or good.
fine words butter no parsnips,Nothing is achieved by empty words or flattery.
fingers were made before forks,A lighthearted excuse for using one's hands to pick up food while eating.
fire is a good servant but a bad master,Fire is useful when kept under control but dangerous in other situations.
first catch your hare,Make sure you have a thing before you decide what to do with it.
fish and company stink after three days,A guest who overstays will cease to be welcome.
fool me once,"Short for fool me once, shame on you; fool me twice, shame on me."
"fool me once, shame on you","Short for fool me once, shame on you; fool me twice, shame on me."
"fool me once, shame on you; fool me twice, shame on me","After being tricked once, one should learn from one's mistakes and avoid being tricked in the same way another time."
fools rush in where angels fear to tread,A person who does not plan ahead and think matters through becomes involved in risky or unfavorable situations which prudent people avoid.
forbidden fruit is the sweetest,"Forbidden things seem more appealing; people desire things more if (or, in some way, because) they can't have them."
forewarned is forearmed,"Advance awareness of a situation, especially a risky one, prepares one to deal with it."
fortune favors the bold,Luck is usually on the side of those who take chances and risks.
freedom is not free,"For freedom to exist as a legal right in a country, it has to actively be fought for and protected (e.g. by the military)."
game is game,The end justifies the means when seeking a sexual partner.
"garbage in, garbage out","If input data are not complete, accurate, and timely, then the resulting output is unreliable and of no useful value. If the input is junk, then the output is junk."
"gender is between your ears, not between your legs","Gender only exists as a social construct, and is not confined to one's birth sex."
"genius is one percent inspiration, ninety-nine percent perspiration",A genius depends more on hard work than imagination.
"get woke, go broke",Businesses that focus on social activism to align themselves with social justice are liable to lose customers.
give a dog a bad name and hang him,A person whose reputation has been besmirched will suffer hardship as a result.
give a man a fish,Ellipsis of give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime.
"given enough eyeballs, all bugs are shallow","Given a large enough beta tester and codeveloper base, almost every problem will be characterized quickly and the fix will be obvious to someone."
give someone enough rope and they'll hang themself,"If one gives someone enough freedom of action, they may destroy themselves by foolish actions."
give them an inch and they'll take a mile,Granting someone a limited concession will encourage them to take greater liberties.
give them an inch and they'll take an ell,Dated form of give them an inch and they'll take a mile.
gods may do what cattle may not,What is permitted to one important person or group is not permitted to everyone; there is a double standard.
"go fash, lose cash","Businesses who focus on catering to right-wing politics, especially extremists, are liable to lose customers."
go hard or go home,"To face a challenge by making a bold, superior effort, lest one give up and forgo the opportunity."
gold is where you find it,"Opportunities, or things of value, may be found unexpectedly."
"good artists copy, great artists steal",It is better to selectively incorporate elements of other people's work rather than copying them wholesale.
good fences make good neighbors,It is better to mind one's own business than get involved with other people's affairs.
good fences make good neighbours,British standard form of good fences make good neighbors.
good things come in small packages,Small gestures of help and kindness matter more than costly and exorbitant bestowals.
good things come in threes,"If a fortunate event has already occurred twice, a third fortunate event is likely to occur."
good things come to those who wait,A patient seeker will be satisfied in due time.
good wine needs no bush,There is no need to boast or advertise about something of good quality.
"grasp all, lose all",One who wants everything may lose it all.
great haste makes great waste,Doing things too quickly results in mistakes.
great minds,Ellipsis of great minds think alike.
great minds think alike,"Used to remark upon the fact that someone else has had the same thought or idea as you, implying that both of you are clever or astute."
"hair today, gone tomorrow","Hair is only temporary, so it is not a big deal for it to be cut."
half a loaf is better than none,"Something is better than nothing: some reward, achievement, result, etc. is preferable to none at all."
handsome is as handsome does,"A person's good actions, rather than outward appeal, define his or her handsomeness in the eyes of others."
"happy wife, happy life","if you keep your wife happy, you will avoid trouble."
hard cases make bad law,An extreme case is a poor basis for a general law that would cover a wider range of less extreme cases.
haste makes waste,Being too hasty leads to wasteful mistakes.
haters gonna hate,"The opinions of critics ultimately have no effect and are unlikely to change, so it is best to ignore them."
health is your first wealth,Health is of utmost importance and the most valuable asset that a person can possess.
hell hath no fury like a woman scorned,A woman will make someone suffer if they reject her.
here we are,Indicates ambivalence or resignation about the present circumstances; dismisses the previous observations as irrelevant.
"he that mischief hatches, mischief catches",People who behave wickedly receive their just deserts.
he who digs a pit for others falls in himself,Someone that plans harm or misfortune for others may also inadvertently be the recipient of that same misfortune.
he who hesitates is lost,A person who spends too much time contemplating what to do may miss a valuable but fleeting opportunity.
he who laughs last laughs best,Success is enjoyed more after having previously endured ridicule.
he who said the rhyme did the crime,"A person who uses a rhyming proverb, such as he who smelt it dealt it, in response to a flatus, is likely the one who expelled it."
he who smelt it dealt it,A person who calls attention to or complains about a flatus is likely trying to pretend it wasn't their own.
he who sups with the devil should have a long spoon,One must be careful when dealing with bad people.
history is written by the victors,"History is often told according to the interpretation and biases of prevailing historical actors, often those who won in geopolitical disputes or otherwise became dominant forces in society."
history repeats itself,Things that have happened in the past will or tend to happen again in one way or another.
hoes before bros,A woman should prioritize her female friends over her boyfriend or husband.
home is where the heart is,One's true home is where one feels happiest.
home is where you hang your hat,"Rather than feeling nostalgic or sentimental, one should simply accept any place where one happens to reside as one's home."
honesty is the best policy,Honesty is preferable as a course of action because it tends to work out best in the end.
hope springs eternal,The feeling of hopefulness endlessly renews itself.
how you get them is how you lose them,A person who starts a relationship by cheating will lose that partner in the same way.
hunger is a good sauce,Being hungry makes one less concerned about the taste of one's food.
hunger is the best sauce,Being hungry makes one less concerned about the taste of one's food.
hunger is the best spice,"When one is hungry, anything will taste good."
hunt where the ducks are,To seek opportunities or results in situations or places where they are most likely to be found.
hurt people hurt people,Those who have been hurt in the past tend to propagate their hurt when interacting with new people.
hydrate or diedrate,Dehydration can eventually lead to death; used to encourage children to drink adequate water when camping or doing other outdoor activities.
"I before E, except after C","Alternative letter-case form of I before E, except after C"
idle hands are the devil's workshop,One who is idle will likely come to do evil.
"if all you have is a hammer, everything looks like a nail","With limited tools, single-minded people apply them inappropriately or indiscriminately."
if at first you don't succeed,Persistence is important in the pursuit of success.
"if at first you don't succeed, try try again",indicates the importance of persistence in the pursuit of success.
if it looks like a duck,"Ellipsis of if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck."
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck",A subject can be identified by observing its habitual characteristics.
if pigs had wings they would fly,Expresses skepticism toward a hypothetical argument by another.
"if there's grass on the pitch, play ball","Once someone has grown pubic hair or started puberty, they are old enough for sexual intercourse."
"if the shoe fits, wear it","If a description fits, it is probably the case; if an insult accurately describes you, you must bear it; if you take offence at an insult that was only implicitly directed at you, you admit the insult is true enough to be recognizable."
"if we had ham we could have ham and eggs, if we had eggs",Draws attention to the futility of a plan or strategy in the absence of the resources necessary for it to work.
"if wishes were horses, beggars would ride","A response to someone wishing for something, conveying that merely wishing for something has no effect or is of no use."
"if you aim at nothing, you'll hit it every time","If you have no ambition, you will have no success"
"if you believe everything you read, better not to read",One should not always believe or rely on the factual accuracy of printed matter.
"if you build it, they will come",Creating the right circumstances for a goal will result in that goal realizing itself.
"if you can't beat them, join them","If one's adversaries are stronger, it is better to join their side."
"if you can't do the time, don't do the crime",One should not carry out an action if one is unwilling to handle the consequences.
"if you can't stand the heat, get out of the kitchen","If you cannot handle the pressure, you should not remain in a position where you have to deal with it."
"if you find yourself in a hole, the first thing to do is stop digging","When finding oneself in a troubling situation, one should first make sure one is not making the situation worse by one's own actions before addressing all other causes."
"if you fly with the crows, you get shot with the crows",Somebody who spends time with undesirable people will be regarded as one of them.
"if you go far enough left, you get your guns back","Liberals or center-leftists widely support firearm restrictions, while those on the far left, such as Marxists, do not."
"if you pay peanuts, you get monkeys",Offering a low payment or salary will not attract skilled workers or employees.
"if you torture the data long enough, it will confess to anything",Statistics can be manipulated to support any conclusion.
"if you want a thing done well, do it yourself",It is better to do something oneself than to rely on others to do it well.
"if you want peace, prepare for war","Visibly preparing for a fight can deter one's enemies from opening hostilities, by not giving the appearance of an easy target."
ignore all rules,It is acceptable to break rules in situations where it is beneficial not to follow them.
ill doers are ill deemers,Bad people expect others to behave badly.
ill-gotten gains never prosper,Money or other property acquired dishonestly does not bring long-term and lasting joy.
ill news spreads apace,Bad news circulates quickly because people tend to gossip.
imitation is the sincerest form of flattery,Copying or mimicking another individual is a sign of admiration of that person.
"in for a dime, in for a dollar","Americanized form of in for a penny, in for a pound."
"in for an inch, in for a mile","Given that one is partly involved in or committed to a project, action, position, etc., there is no reason to refrain from becoming fully involved or fully committed."
"in for a penny, in for a pound","Having started something, one must see it through to its end, rather than stopping short; one must “go the whole hog”."
"in the land of the blind, the one-eyed man is king","Even someone with limited abilities or opportunities is dominant over, and considered special by, those who have even fewer abilities and opportunities; the value of any ability depends on its prevalence."
"in unity, there is strength",More can be accomplished by a team with a common goal than by individuals.
in vino veritas,"In wine, there is truth."
"in wine, there is truth",Statements made or expressed under the influence of alcohol reveal true beliefs that are not expressed when sober.
it ain't over till it's over,There are more developments yet to come; one should not presume to know the outcome of an event which is still in progress.
it ain't over 'til the fat lady sings,There are more developments yet to come; one should not presume to know the outcome of an event which is still in progress.
"it ain't the meat, it's the motion","When it comes to sexual satisfaction, the size of the penis does not matter, but technique during intimacy does."
it is a wise child that knows his own father,One can never be sure of one's paternity.
it is better to travel hopefully than to arrive,The journey or process is more important or more enjoyable than the destination or end result.
it is easy to be wise after the event,"After one has seen the consequences of a decision, it is easy to tell whether or not the decision was favorable, but it is also too late, since the consequences have already occurred."
it is easy to find a stick to beat a dog,"If a person is determined to punish or blame someone, they will find a way or a reason to do so."
it never rains but it pours,Unfortunate events occur in quantity.
it pays to advertise,Good qualities do not get rewarded automatically.
it's all fun and games until someone loses an eye,Rough play results in injury.
it's a long road that has no turning,Progress through life is characterized by change.
it's a man's world,Society is organized in a manner that gives preferential status to males; most positions of authority are occupied by men.
it's an ill bird that fouls its own nest,"A condemnation of anyone who damages his or her own interests, reputation, or group."
it's an ill wind,Ellipsis of it's an ill wind that blows nobody any good.
it's an ill wind that blows nobody any good,An action or occurrence must be very bad indeed if it brings no benefit to anyone.
"it's a tough job, but someone's got to do it",The job is a particularly difficult and undesirable one.
it's better to ask forgiveness than permission,"It is better to act decisively and apologize for it later than to seek approval to act and risk delay, objections, etc."
it's better to be judged by twelve than to be carried by six,"In a precarious situation, it is wiser to act decisively and be judged by a jury than to be killed through inaction."
it's lonely at the top,A highly successful person in a particular field will inevitably suffer from a feeling of isolation.
it's never too late to mend,One is never too old to change one's ways; learning is always possible.
it's not the whistle that pulls the train,Boasting and loud talk should not be mistaken for the work that produces real achievements; bravado is no proof of action.
it's not what you know but who you know,"For success, and especially to obtain employment, one's knowledge and skills are less useful and less important than one's network of personal contacts."
it's not what you say but how you say it,The tone and delivery of communication is at least as important as what is actually being said.
it's the hit dog that howls,"If somebody is ranting or complaining about something, they were probably hurt by it."
it's the thought that counts,"When giving someone a present or doing a favour for someone, the kindness behind the act is more important than any other consideration."
it takes a heap of living to make a house a home,"A house is simply a physical structure and does not count as a home until significant events in the inhabitants' lives have occurred there over a substantial period of time, and they have developed an emotional bond to the house and its immediate environs."
it takes all kinds,Ellipsis of it takes all kinds to make a world.
it takes all kinds to make a world,Diversity is essential: the world would be incomplete if everyone were alike; an expression of surprise at a person or people's eccentricity.
it takes all sorts,Ellipsis of it takes all sorts to make a world.
it takes a village,Short for it takes a village to raise a child.
it takes a village to raise a child,"An entire community of people must provide for, and interact positively with, children in order for those children to grow up healthily and safely."
it takes one to know one,expressing the same underlying character-judgment themes as pot calling the kettle black or set a thief to catch a thief.
it takes two to make a quarrel,It takes two or more people to cause a quarrel; one cannot blame an argument entirely on the other side.
it takes two to tango,Some things need the active cooperation of two parties; blame is to be laid on both parties in a conflict.
it wasn't only only,An act or task was harder to do than it might seem.
iura novit curia,Parties to a legal dispute do not need to plead or prove the law that applies to their case.
"judge not, that ye be not judged",One should not criticize others if one is not prepared to be criticized in return.
justice delayed is justice denied,"If a wrong is not redressed within a reasonable time, it is as though the wrong were not redressed at all."
justice is blind,"Justice is to be meted out impartially, without regard to the identity of the individual being tried."
karma's a bitch,The consequences for a person who carries out malevolent actions or displays bad behavior will be very unpleasant.
"keep your friends close, and your enemies closer",One should be attentive and alert of one's surroundings if malicious people are around to prevent them from wreaking havoc in one's life.
kids will be kids,Children cannot be expected to act like adults.
kissing goes by favor,People often practice favoritism when awarding benefits to others.
knowledge is power,"Scientia potentia est; with knowledge and/or education, one's potential or ability to succeed in the pursuit of one's objectives will certainly increase."
know thyself,Be aware of your own strengths and limitations.
laugh and grow fat,A cheerful attitude leads to success in life.
"laugh before breakfast, cry before supper",It is unwise to be complacently happy because things may get worse.
laughter is the best medicine,Laughing will improve one's mood or temperament.
"least said, soonest mended",Hurt feelings are most quickly healed by not discussing (revisiting) the event giving rise to the hurt.
"leaves of three, let it be",Don't touch a plant with a cluster of three leaves because it might be poison ivy or poison oak.
less is more,That which is of smaller quantity could be of higher quality.
let a thousand flowers bloom,One should not interfere with promising developments in their early stages.
lex dubia non obligat,A doubtful law is not binding.
life is not all beer and skittles,Not everything about life is pleasurable.
life's a bitch and then you die,An expression of acceptance of misfortune in life.
lightning never strikes twice,"An allusive shortening of lightning never strikes twice in the same place, usually used figuratively."
lightning never strikes twice in the same place,Something is not affected in the same way twice.
"like father, like son",A son takes after his father.
"like mother, like daughter",A daughter takes after her mother.
little pitchers have big ears,Small children often overhear more of what is said than adults realize or desire.
little strokes fell great oaks,Small but persistent efforts can lead to big results.
